Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,62899.200000002464,7.2,1.000000000000039
BASN_biomass_2,1,159868.80000000092,18.3,1.0000000000000056
BASN_conventional_hydroelectric_1,1,4.837423205094219e6,1483.9,0.3731614941993868
BASN_conventional_steam_coal_1,1,5.749728615408676e6,728.2,0.9038243691430479
BASN_conventional_steam_coal_2,1,0.0,0.0,0.0
BASN_geothermal_1,1,1.1668869596988915e6,140.8,0.9486663724450122
BASN_natural_gas_fired_combined_cycle_1,1,571982.731158178,735.2,0.0890563298850332
BASN_natural_gas_fired_combined_cycle_2,1,1.096727008506338e7,6970.0,0.18011634906177212
BASN_natural_gas_fired_combustion_turbine_1,1,102386.74168583706,1382.7,0.008476237837162592
BASN_natural_gas_fired_combustion_turbine_2,1,27634.982773932043,236.2,0.013392654943897677
BASN_natural_gas_internal_combustion_engine_1,1,126284.77071057788,203.5,0.07103525455995462
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,923851.6839221073,520.0,0.20336971768502293
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,2.670595199999969e6,305.7,0.9999999999999883
BASN_solar_photovoltaic_1,1,1.1558373708204778e7,4711.4,0.28082394054526877
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,794976.0,91.0,1.0
CANO_biomass_2,2,721593.6000000291,82.6,1.0000000000000404
CANO_conventional_hydroelectric_1,2,1.4832762506781302e7,5818.7,0.2917987662343141
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,4.98233921438656e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,3.000701240822665e6,2707.8,0.12685089875444386
CANO_natural_gas_fired_combined_cycle_2,2,2.571175463903513e7,8296.9,0.35473434138442184
CANO_natural_gas_fired_combustion_turbine_1,2,277782.25580945035,1950.2,0.01630469664245073
CANO_natural_gas_fired_combustion_turbine_2,2,212630.42682187463,997.2,0.024407905645637756
CANO_natural_gas_internal_combustion_engine_1,2,462225.7388538254,441.6,0.11981534296847661
CANO_natural_gas_steam_turbine_1,2,8194.912520856951,2.9,0.3234697692014396
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,96244.55273438177,61.8,0.17826868386437583
CANO_petroleum_liquids_1,2,2351.95797522833,161.6,0.0016660022196960185
CANO_small_hydroelectric_1,2,4.730544e6,541.5,1.0
CANO_solar_photovoltaic_1,2,6.569470091188367e6,3036.7,0.2476371658380808
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,1.2806975999999924e6,146.6,0.9999999999999941
CASO_biomass_2,3,169478.40000000692,19.4,1.0000000000000409
CASO_conventional_hydroelectric_1,3,2.2279381557948347e6,919.0,0.2775076722532
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,369920.9618878945,44.4,0.9537034335706616
CASO_hydroelectric_pumped_storage_1,3,3.518049990196692e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,1.8779054117534596e6,1349.8,0.15925448219243882
CASO_natural_gas_fired_combined_cycle_2,3,2.1080112433604956e7,7481.6,0.3225268035113813
CASO_natural_gas_fired_combustion_turbine_1,3,219168.2867151169,1409.3,0.0178017064555921
CASO_natural_gas_fired_combustion_turbine_2,3,1.4592265055553475e6,3953.4,0.042251227068798955
CASO_natural_gas_internal_combustion_engine_1,3,72694.34843580061,48.6,0.1712189201388903
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.2139897069081902e6,416.1,0.33396785202275925
CASO_petroleum_liquids_1,3,465.44541945489766,7.8,0.006830642132979033
CASO_small_hydroelectric_1,3,1.9673472000000698e6,225.2,1.0000000000000355
CASO_solar_photovoltaic_1,3,1.6874153269382462e7,7408.0,0.260740437853643
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,585312.0,67.0,1.0
FRCC_biomass_2,4,2.64264e6,302.5,1.0
FRCC_conventional_hydroelectric_1,4,109044.66186315473,43.5,0.2869475544796923
FRCC_conventional_steam_coal_1,4,3.6784201005452913e6,467.0,0.9016371990339739
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,1.073401447988258e8,32917.2,0.3732730756882444
FRCC_natural_gas_fired_combined_cycle_2,4,2.7367641488615074e6,2557.7,0.12248281050915867
FRCC_natural_gas_fired_combustion_turbine_1,4,1.0157658495248549e6,7162.4,0.016233882966793477
FRCC_natural_gas_fired_combustion_turbine_2,4,12417.874727529235,346.2,0.004105892603052806
FRCC_natural_gas_internal_combustion_engine_1,4,169254.9644480331,250.9,0.0772197034120541
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,3.052208233209716e7,3737.0,0.9349285806209132
FRCC_petroleum_liquids_1,4,443.9410361848545,4.0,0.012704356575802841
FRCC_solar_photovoltaic_1,4,1.334974311662655e7,7442.9,0.20531378031564054
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,1.4475551999997667e6,165.7,0.9999999999998388
ISNE_conventional_hydroelectric_1,5,1.8676545773291038e6,507.7,0.42109178390179147
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,3.153964921186524e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.1455186273219013e6,3353.7,0.03909897024106819
