Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,879529.3801707381
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2.0621173718918208e6
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,39369.7433753566
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,894674.9277209814
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,198795.24856929723
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,544077.5318495242
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,765018.3305800976
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,757166.9236010906
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,0.048337912178548166
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,6.110323601820121e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,0.02056077594253739
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.013365066786105526
NENG_Rest,NENG_Rest_nuclear_1,1,1,5.797975356431963e6
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.03351636177683377
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.025854652311458868
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,53282.56425256884
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.03855445870472988
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.004207248833171106
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.014102786092020073
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.44127117312616837
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.012864574104297938
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,4.0621629573089317e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.03339865238238527
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.04663688180746624
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,0.9627663504286749
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,0.04853539787958139
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,1.0987947540219412e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.03150083763607902
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,0.010594106465980597
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,2020.552072733158
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,789198.9110753111
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,1.7207569906181565e6
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,0.012493349770580073
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,38582.81752581654
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,0.17610550372313585
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,767341.3930410697
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,2808.932940113796
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,101244.28049923753
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,256366.61521926548
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,1.7040741328602385e7
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.011627139698018185
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.038028494948368755
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.04862629593421283
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.03946296863320151
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,1.225200532889525e7
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.04432760792164044
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,1.1297156890364962e6
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,217356.59761097695
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,1.5377561578440964e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.035186534415911325
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,0.02324909169711838
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.0050340698117971264
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,0.01046862093082252
PJM_Rest,PJM_Rest_nuclear_1,11,1,3.818502931662951e7
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,0.04235592506577287
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.013668677598975887
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.010933813375331504
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.010864260870818354
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.5472523161389099
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,0.026111195930989976
